url,image_url,width,height,aspect_ratio,status
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/kenali-makanan-penyebab-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1396__banner-detail-desktop/kenali-makanan-penyebab-alergi-pada-anak_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/mengenali-proses-terjadinya-alergi-pada-balita,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__446897__banner-detail-desktop/mengenali-proses-terjadinya-alergi-pada-balita-nutriclub-dektop.webp,900,370,2.43,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/kebutuhan-nutrisi-untuk-anak-dengan-gejala-alergi-berat,https://www.nutriclub.co.id/articles/image/image-thumb__1319__banner-detail-desktop/kebutuhan-nutrisi-untuk-anak-dengan-gejala-alergi-berat_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/penyebab-alergi-pada-balita,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__488948__banner-detail-desktop/penyebab-alergi-pada-balita-NUTRICLUB-DESKTOP.webp,900,370,2.43,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/perbedaan-alergi-makanan-dan-intoleransi-makanan,https://www.nutriclub.co.id/articles/image/image-thumb__1686__banner-detail-desktop/perbedaan-alergi-makanan-dan-intoleransi-makanan_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/perlukah-tes-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1689__banner-detail-desktop/perlukah-tes-alergi-pada-anak_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/pilek-akibat-alergi,https://www.nutriclub.co.id/articles/image/image-thumb__1647__banner-detail-desktop/pilek-akibat-alergi_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/rhinitis-jenis-pilek-karena-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1698__banner-detail-desktop/rhinitis-jenis-pilek-karena-alergi-pada-anak_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/riwayat-alergi-pada-orang-tua-bisa-diturunkan-ke-anak,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__2295__banner-detail-desktop/resize_desktop-riwayat-alergi-pada-orang-tua-bisa-diturunkan-ke-anak.webp,700,279,2.51,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/ruam-akibat-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__462392__banner-detail-desktop/ruam-akibat-alergi-nutriclub-desktop.webp,900,370,2.43,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/seluk-beluk-alergi-pada-balita,https://www.nutriclub.co.id/articles/image/image-thumb__1578__banner-detail-desktop/seluk-beluk-alergi-pada-balita_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/serba-serbi-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__1704__banner-detail-desktop/serba-serbi-alergi-susu-sapi_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/tip-dan-cara-kenalkan-formula-asam-amino-bagi-anak-yang-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__1716__banner-detail-desktop/tip-dan-cara-kenalkan-formula-asam-amino-bagi-anak-yang-alergi-susu-sapi_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/tips-untuk-menghindari-munculnya-alergi-pada-si-kecil,https://www.nutriclub.co.id/articles/image/image-thumb__1677__banner-detail-desktop/penyebab-alergi-di-rumah_large.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/cara-mencegah-alergi-makanan-pada-anak,https://www.nutriclub.co.id/articles/alergi/balita/image-thumb__4850__banner-detail-desktop/Cara%20Mencegah%20Alergi%20Makanan%20pada%20Anak%20Tidak%20Muncul%20dan%20Kambuh.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/cara-mengatasi-alergi-susu-sapi-pada-anak,https://www.nutriclub.co.id/articles/alergi/balita/image-thumb__4847__banner-detail-desktop/Mengatasi%20Alergi%20Susu%20Sapi%20pada%20Anak%20usia%20di%20atas%201%20tahun.webp,700,278,2.52,OK
