url,image_url,width,height,aspect_ratio,status
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/kenali-makanan-penyebab-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1398__banner-detail-mobile/kenali-makanan-penyebab-alergi-pada-anak_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/mengenali-proses-terjadinya-alergi-pada-balita,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__446898__banner-detail-mobile/mengenali-proses-terjadinya-alergi-pada-balita-nutriclub-mobile.webp,487,325,1.5,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/kebutuhan-nutrisi-untuk-anak-dengan-gejala-alergi-berat,https://www.nutriclub.co.id/articles/image/image-thumb__1321__banner-detail-mobile/kebutuhan-nutrisi-untuk-anak-dengan-gejala-alergi-berat_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/penyebab-alergi-pada-balita,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__488949__banner-detail-mobile/penyebab-alergi-pada-balita-NUTRICLUB-MOBILE.webp,488,325,1.5,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/perbedaan-alergi-makanan-dan-intoleransi-makanan,https://www.nutriclub.co.id/articles/image/image-thumb__1688__banner-detail-mobile/perbedaan-alergi-makanan-dan-intoleransi-makanan_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/perlukah-tes-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1691__banner-detail-mobile/perlukah-tes-alergi-pada-anak_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/pilek-akibat-alergi,https://www.nutriclub.co.id/articles/image/image-thumb__1649__banner-detail-mobile/pilek-akibat-alergi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/rhinitis-jenis-pilek-karena-alergi-pada-anak,https://www.nutriclub.co.id/articles/image/image-thumb__1700__banner-detail-mobile/rhinitis-jenis-pilek-karena-alergi-pada-anak_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/riwayat-alergi-pada-orang-tua-bisa-diturunkan-ke-anak,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__2296__banner-detail-mobile/resize_mobile-riwayat-alergi-pada-orang-tua-bisa-diturunkan-ke-anak.webp,221,215,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/ruam-akibat-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__462393__banner-detail-mobile/ruam-akibat-alergi-nutriclub-mobile.webp,488,325,1.5,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/seluk-beluk-alergi-pada-balita,https://www.nutriclub.co.id/articles/image/image-thumb__1580__banner-detail-mobile/seluk-beluk-alergi-pada-balita_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/serba-serbi-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__1706__banner-detail-mobile/serba-serbi-alergi-susu-sapi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/tip-dan-cara-kenalkan-formula-asam-amino-bagi-anak-yang-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__1718__banner-detail-mobile/tip-dan-cara-kenalkan-formula-asam-amino-bagi-anak-yang-alergi-susu-sapi_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/tips-untuk-menghindari-munculnya-alergi-pada-si-kecil,https://www.nutriclub.co.id/articles/image/image-thumb__1679__banner-detail-mobile/penyebab-alergi-di-rumah_small.webp,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/cara-mencegah-alergi-makanan-pada-anak,https://www.nutriclub.co.id/articles/alergi/balita/image-thumb__4850__banner-detail-mobile/Cara%20Mencegah%20Alergi%20Makanan%20pada%20Anak%20Tidak%20Muncul%20dan%20Kambuh.webp,700,278,2.52,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/cara-mengatasi-alergi-susu-sapi-pada-anak,https://www.nutriclub.co.id/articles/alergi/balita/image-thumb__4847__banner-detail-mobile/Mengatasi%20Alergi%20Susu%20Sapi%20pada%20Anak%20usia%20di%20atas%201%20tahun.webp,700,278,2.52,OK
